username,following_count,cloudcast_count,follower_count,favorite_count,listen_count
vilou,11,0,6,19,59
nkopernicus,0,0,8,0,0
zarina,2,0,1,5,6
arrow,0,0,10,0,0
mAKAVELLI,2,0,0,6,9
rhodrid,1,0,15,4,14
for_that_moment,3,0,3,3,48
finetime,6,0,20,3,6
waxingapocalyptic,1,0,0,0,1
cobrien,9,0,15,8,47
miaou,9,0,15,0,0
sosasole,1,0,1,0,2
jteore,25,0,32,7,20
christiane_knecht,3,0,14,0,1
NixusDnB,1,0,1,0,1
Dj_Xavier,1,0,0,0,1
darenbonr,1,0,5,2,2
h8wtb,1,0,14,0,1
terryguy,11,0,0,0,0
missjeanne,2,0,1,16,53
PredaCon,1,0,3,0,1
damereggaeton,1,0,2,0,5
dozer,7,0,20,0,0
DJhe,1,0,1,0,1
cloudead,4,0,15,0,17
yannlebreuilly,6,0,6,1,13
andreastek,5,0,4,0,1
1ange1,2,0,1,4,13
ickyslick,1,0,1,0,0
markiereyes,1,0,0,3,1
joehampy,2,0,10,0,2
mouth,0,0,5,0,9
oxala75,4,0,30,28,136
teco,8,0,47,1,65
JoshBryan,10,0,3,1,1
silber,2,0,9,0,0
haskerface,34,0,15,18,14
dalut,0,0,5,0,13
kenaan,2,0,2,2,29
fennek,1,0,3,0,5
nicopara,1,0,18,0,3
eclesi12,1,0,0,1,1
cornershop,0,0,11,0,1
ricy,2,0,0,2,31
Tian,6,0,4,0,6
sessiones,2,0,0,5,13
winslowfamily,2,0,1,0,0
meurig,4,0,2,12,31
venes,3,0,4,0,1
BergerRond,218,0,82,1,2
surubika,1,0,5,4,1
H00psy,9,0,18,15,30
Rix,7,0,20,0,1
UniqueNuclear,2,0,0,1,3
MontanaOhYeah,9,0,17,4,5
borisgeneve,1,0,1,1,1
margaborgmans,1,0,0,0,1
osito,1,0,0,4,6
01gezzy101,1,0,2,0,0
Djmissdivine,29,0,56,0,0
misscharles,6,0,4,11,57
LittleForks,6,0,17,6,19
Tuffjon,1,0,1,0,0
misscarothers,5,0,8,0,6
cdub,1,0,3,0,0
uperiwn,3,0,2,0,4
eliotgroove,4,0,0,0,2
psyjager,2,0,2,1,2
Otihcnom72,1,0,0,0,2
dav3,10,0,21,8,28
Marshall128,2,0,15,12,15
pepponyc,1,0,0,0,25
Johngallagher,2,0,5,0,0
abates_radio,0,0,3,0,0
russellandkatrina,1,0,9,0,0
moebiussurfing,6,0,30,3,4
callthedoctor,2,0,5,1,1
rudenoise,4,0,31,1,2
BlueFamily,5,0,5,4,0
dave,0,0,29,1,1
djprojectman,5,0,1,3,3
yosaku,1,0,2,0,0
dava,1,0,1,1,1
housemusikeu,0,0,2,0,0
pushkingnoize,3,0,2,0,0
plainboy,6,0,18,2,4
Kenjaminwww0907,1,0,0,0,4
upfunk,4,0,0,0,13
ElLass,1,0,0,0,0
djsofaking,1,0,1,2,4
Freeoz,33,0,50,31,84
MotherPopcorn,1,0,0,2,1
mestrinel,1,0,2,0,1
Sercy,10,0,0,0,0
ohhdanidani,3,0,7,0,0
eugenerauldi,4,0,48,1,3
calpor,0,0,6,0,0
dbaptiste,1,0,7,1,0
dtan,3,0,20,2,20
beatmaster,1,0,0,0,1
mancsnake,12,0,6,0,8
match,5,0,1,4,32
brays,1,0,0,0,6
michaelner,1,0,0,0,0
jrmhpr11,1,0,3,0,0
oxbuon,1,0,0,0,1
SteveO,1,0,0,0,0
SteveB,1,0,2,0,0
wompwomp,1,0,5,1,12
StuartW,1,0,4,2,4
louchef,3,0,0,1,13
imjustheretolistentothedj,9,0,11,5,30
seaabove,3,0,2,2,1
DJMV,2,0,2,0,5
DJMO,1,0,7,0,0
jm_sanz,1,0,0,1,5
staticbeats,1,0,0,1,1
franciscocastellanos,2,0,36,0,2
El_records,1,0,0,0,0
haicu,7,0,30,59,254
HBizzle,0,0,14,0,0
geodar,1,0,0,1,0
kaspert,1,0,1,0,1
SIR_5,4,0,18,0,2
mangoe,3,0,10,2,4
yanniskappa,2,0,8,1,1
pkohara,5,0,8,0,0
gpavli,168,0,167,2,111
DJRedLight,1,0,12,1,1
DELETEDJAN17B,1,0,0,2,1
Detune,1,0,2,0,9
Roast,1,0,1,0,0
Karlborn,11,0,5,5,45
aza,8,0,11,7,8
whirlio,2,0,9,2,7
rola,10,0,25,0,2
Jason_Dee,15,0,3,0,1
colinsounds,1,0,0,0,0
vladeejay,8,0,2,3,0
eddiedog,81,0,38,156,43
tsabios,1,0,1,0,0
maudmaryn,1,0,0,0,1
swedishbrandyproductions,0,0,9,0,0
claykruse,1,0,0,0,0
ragga,13,0,9,5,5
jero,1,0,2,1,6
idRoj2734,24,0,6,139,85
djmvanderloo,6,0,17,1,77
lecoto,3,0,7,6,14
elvelasquez,0,0,22,0,0
helmix,1,0,1,1,1
scen,6,0,5,0,4
M2,5,0,0,0,9
zero300,1,0,4,1,1
pimpmydesign,0,0,14,17,44
twg_,38,0,10,21,23
Artificialsoul,42,0,63,0,0
241mixcloud,23,0,19,0,188
deejayspinach,1,0,1,0,0
lepadouke,20,0,9,15,70
dabear72,2,0,3,1,0
gumbomasta,3,0,1,9,8
kirstyevita1,1,0,0,1,1
chico_fadista,4,0,0,0,0
duerer,1,0,0,0,1
vroche,1,0,2,1,1
thegreencircle,2,0,5,9,118
k0s,13,0,0,0,0
MihaiT,1,0,5,0,0
Iris,9,0,6,6,40
alastair,7,0,5,1,23
tundra,4,0,4,0,0
hihat,3,0,1,0,0
DIZZYROSE,8,0,21,9,37
tranzmitta,2,0,2,0,4
radio95x,2,0,1,0,0
juchis,1,0,1,2,2
DoktorDub,2,0,5,0,0
KayalarinOglu,1,0,4,3,2
dooms,5,0,24,0,16
MickBoogie,0,0,17,0,0
megattack,36,0,44,0,2
samuel,0,0,1,1,1
hugodepute,3,0,4,5,20
cockneyscouser,1,0,1,0,0
hmortland,3,0,0,0,0
stupendousman,2,0,2,0,23
juiceboy,2,0,0,0,1
skirmish,5,0,45,2,2
blameills,1,0,2,5,13
kootenayquarterpint,49,0,37,44,147
tgrundy,9,0,19,0,0
mossland,1,0,14,0,4
christiaanharden,1,0,0,1,0
rastepas,2,0,1,3,34
kujawamiusic,1,0,6,0,17
entrecejas,2,0,4,0,1
DrWatson,1,0,4,0,0
jimcallender,4,0,1,1,1
ninjabyber,0,0,1,1,5
keefmoon,3,0,2,0,0
kidmistik,1,0,17,0,0
