username;ref_as_follower;ref_as_following;ref_as_faved
TheMoBeatsExperience;6;3;0
candysanders;12;0;0
djsimbad;0;153;6
darenwelsh;3;7;0
chrisdevlin;5;59;12
ChaseCooper;0;9;0
mitch;46;70;2
santositaly;2;30;0
ozmodiar;0;6;0
nigelhennigar;2;3;0
upanddown;11;11;2
kingstonhot;0;6;1
mro;14;16;0
mrh;17;30;3
disko404;3;30;22
kidaround;2;1;0
cezarygapik;37;70;7
tosbin;23;11;1
zarin;6;35;3
OTR;23;28;5
DieselFragranceFactory;0;16;4
rkns;2;1;0
artek;7;12;1
lindoo;8;11;0
muccanuka;2;12;0
funkusion;22;17;2
dubsludge;8;19;3
davidotero;0;1;0
cambaleia;4;3;0
Orsii;157;684;265
cherenkovriddim;12;8;4
germfree;9;5;1
Djalexlo;1;0;0
DJ_JAWS_804;33;47;2
rollovbeethoven;4;2;1
tpolar;14;19;1
BangBeads;11;9;3
transpondency;0;8;2
radionarcotix;0;9;0
MattyBlades;57;27;1
thespankbass;154;55;19
voodootronix;4;14;4
wynw;14;2;0
thefratellifidget;134;41;0
WDPK837;2;4;0
lefrenk;2900;429;1
DJBERG;2;12;0
adambeyer;0;710;195
mmii;25;46;5
Port41;3;2;1
slinkyfm;0;39;2
Inertia;1041;325;6
masajazz;8;11;5
djfocal;3;1;0
LigaLize;1;3;1
maxyu;1;1;0
rinocerose;0;14;0
Zimpala;13;16;2
rebel_lion;1;10;1
gideon;35;66;9
DnVJ_Fraktal;6;13;0
globalsoundtracks;4;47;2
Beatport;0;281;6
djmarkstarr;8407;878;14
BlikkenTheDj;1;1;0
Lineage;8;2;0
larylaza;3;6;0
azbt;2;13;0
partyzanai;8;3;0
royalgroove;29;49;7
lukelocastro;5;4;0
deepersouthsessions;36;14;2
em_robin;26;37;0
MeltingUniverse;10;21;3
remedy;0;4;1
Cyanide;0;1;1
chopsuey;885;241;3
m0n0c3r0s;1;1;1
djbellyb;5;8;1
_giorgos;8;7;1
kodamabass;1;14;6
nei_bearproject;17;11;0
monsterbobby;0;66;27
gavinpalmer;11;15;1
kjellvistad;9;9;0
ParadoxMusicRadio;0;88;1
noa;1;4;0
kfa;28;18;1
unique3;0;6;0
potezica;24;30;7
dodgerman;117;107;22
fonkybeat;4830;626;37
jbostron;11;69;8
Unfeasable;21;41;4
TwoCharmingMen;3;20;4
YvesLaRock;0;15;0
blackin3d;1;2;0
djmarky;3;1007;397
DJMOE;103;69;1
yogibasics;769;283;0
mightyboogie;16;6;1
whitenoise;3;4;1
florenzsanchez;553;138;1
angelalanis;58;151;16
chuka;0;2;0
mattsever;308;104;1
djwan;4;3;0
manlikeme;18;58;5
suzybong;4;33;4
fraserfunk;10;7;1
bassador;6;7;1
djslackman;26;18;0
matiasvaldmont;3;0;0
justinzero;14;7;0
djbrokenfingaz;0;2;2
StuRamsay;1;0;0
314;2;2;0
giom;28;233;39
jonmanning;3;9;0
jamastera;0;6;1
allio;1;2;1
faakz;5;1;0
elementrix;1;6;1
truancy;863;404;111
deejaygoldsmith;116;78;4
optimum;241;132;2
murdeek;54;61;5
groovegsus;3;0;0
sneakBeats;45;36;7
flexdisco;2;4;0
chateaulateuf;88;103;9
jamescobo;8;17;4
SAVAGEBEACH;13;8;1
moovmnt;101;839;481
weareblahblahblah;0;6;7
cromie;0;5;1
king_slaFF;19;45;5
JooLs;5;10;0
snakecharmer;48;56;0
Magma;14;67;8
KDOTonline;15;39;2
guardianpolitics;0;10;1
robika;7;13;0
kryptoxx;1;5;3
oddio;519;446;245
lombardo;2;0;0
taktfrequenz;10;55;3
Sunflow75;4;5;0
sabotage;60;305;106
benwdj;37;49;6
shins_k;2;2;0
the140show;6;1;0
vladastojanovic;128;292;151
blackbrandonsmixes;2;4;0
huggs;0;5;1
PAEBAC;0;4;0
shaunduval;44;43;4
Dusty;23;66;11
smokeradio;0;4;0
hardbassdealers;38;11;0
timmy;1912;310;8
ramontapia;0;26;1
tombulwer;5;17;0
coffeehouseradio;0;4;0
Professor_Eddy;97;240;84
